ACLS_1 | INTENT LOGGER
RECOGNIZED | in: AttachMonitor, sr: Attacchiamo il monitor?, score: 0,29981396
RECOGNIZED | in: GiveOxygen, sr: Diamo ossigeno., score: 0,51570517
RECOGNIZED | in: StartCPR, sr: Perfetto, un massaggio cardiaco., score: 0,51715356
RECOGNIZED | in: AskForRhythm, sr: Controlla lo stato del paziente., score: 0,8889502
RECOGNIZED | in: Shock, sr: Diamo una scarica., score: 0,19097401
RECOGNIZED | in: StartCPR, sr: Effettua un'altro massaggio cardiaco., score: 0,29219586
RECOGNIZED | in: Capnography, sr: Effettuiamo l'accesso venoso., score: 0,040728543
RECOGNIZED | in: Capnography, sr: Effettuiamo l'accesso venoso., score: 0,040728543
RECOGNIZED | in: IVAccess, sr: Effettua l'accesso venoso., score: 0,043848068
RECOGNIZED | in: AskForRhythm, sr: Battito., score: 0,92886066
RECOGNIZED | in: Shock, sr: Scarica., score: 0,70533985
RECOGNIZED | in: StartCPR, sr: Massaggio cardiaco., score: 0,8773081
RECOGNIZED | in: Epinephrine, sr: Somministriamo 1 mg di epinefrina., score: 0,08154752
RECOGNIZED | in: AskForRhythm, sr: Controlla il battito., score: 0,9930541
RECOGNIZED | in: AmiodaroneFirstDose, sr: Iniettiamo della dell'AMIODARONE., score: 0,9319324
RECOGNIZED | in: AskForRhythm, sr: Controlla il battito., score: 0,9930541
